App Id,Category
1093080523,Games
1441093906,Games
1329514585,Entertainment
303486832,Reference
555281737,Games
1301967636,Games
350426804,Social Networking
1314725881,Games
1379080711,Games
1263934706,Games
775402833,Games
1335772572,Games
582654048,Games
993492744,Games
1437370468,Games
645705454,Games
1091456207,Games
975364678,Games
977150768,Games
1318292856,Games
1277029359,Games
1276263909,Utilities
1383187127,Games
1081075274,Games
918606368,Games
1436327767,Games
1332583130,Games
1181488189,Games
1143705385,Games
1011376303,Games
1361030006,Photo & Video
959502665,Games
1342112505,Games
1327435891,Games
1246165006,Entertainment
1200921809,Games
1047961826,Games
1434521545,Games
1348287060,Games
1437596462,Games
1036661603,Games
1308181322,Games
1364187784,Games
1400072268,Games
1444781694,Games
1407604160,Games
293778748,Games
1436878880,Games
1431556749,Games
1294981104,Games
1225548580,Games
1308209088,Games
1436348748,Games
1340788392,Games
1202240058,Games
1435899684,Games
1278922336,Games
1141762073,Games
1406739414,Games
1057554325,Games
1073986257,Games
1213561116,Games
1360768582,Games
1438716912,Games
1258027083,Games
1352933197,Games
1406337644,Games
1443190579,Games
1206761632,Games
1207472156,Games
1271341983,Games
794296000,Social Networking
1180467988,Games
1249943261,Games
1038350489,Games
1168548464,Games
1368385399,Games
1155905318,Games
1228553191,Games
1321606577,Games
684168069,Games
1338668933,Games
859204347,Games
1288758206,Games
933132958,Games
1294573637,Games
1349404829,Games
1208359453,Games
690684505,Utilities
1276477518,Games
1112386099,Health & Fitness
448304085,Games
1233344828,Photo & Video
1242159382,Entertainment
1086483007,Games
1326524663,Music
1053241118,Music
1301993731,Games
768101576,Games
1358312640,Entertainment
836670421,Games
1217267627,Music
1076314983,News
838084678,Games
738257888,Entertainment
525506779,Games
1231737310,Games
889854362,Games
1274350661,Education
849654325,Games
1252249963,Games
630509137,Photo & Video
1257074055,Games
1333523965,Games
997811612,Games
1359242454,Games
479242966,Games
1299611345,Games
1253048229,Games
651510680,Games
1336928392,Games
1068366937,Games
1253027907,Games
937718942,Games
1084813529,Games
1230260754,Games
1316911967,Games
1122444037,Games
1436616007,Games
1350301428,Social Networking
1087664350,Books
1134895689,Games
867654947,Games
1002340615,Games
1286964358,Games
1441292916,Games
1435144729,Games
1300058820,Games
1443448520,Games
1296847499,Games
1436776211,Games
1208244349,Games
1342545230,Games
1362785881,Games
1312626695,Games
1442401738,Games
1082803487,Music
1260495531,Music
537539828,Games
1190849728,Games
1033474969,Games
979341756,Health & Fitness
718198907,Reference
998313304,Lifestyle
1013279592,Entertainment
1230479075,Games
881086023,Games
1163778886,Travel
1190100457,Games
592704252,Games
997728895,Weather
1145128886,Photo & Video
1380448783,Games
497228532,Games
378722461,Utilities
1163973615,Education
1167054726,Utilities
1089890170,Games
1354452189,Games
1280910599,Games
925324244,Games
1315531311,Games
420206088,Music
979888653,Games
1030310599,Games
1435740083,Games
1112429079,Games
957253933,Games
703439482,Games
950830884,Games
1324944755,Games
749046891,Entertainment
1372015773,Games
1218331303,Games
1222275061,Games
1347712990,Games
1097808636,Games
969934912,Games
1196169238,Games
1089272392,Games
1357403867,Games
1039845801,Lifestyle
1144164707,Games
1255169680,Games
1088866155,Games
1208418418,Games
1437716878,Games
640111933,Games
1176482843,Games
1008957297,Games
1049282067,Games
1370475630,Games
1180624641,Games
1279296287,Games
906357856,Games
1414073922,Games
1422866002,Games
1252303037,Games
1134614037,Games
1398120027,Games
1402223859,Games
1301375510,Games
1177953618,Games
1362916873,Games
1138264921,Games
1268644670,Games
1185248896,Games
1443448674,Games
1117841866,Games
1225683141,Games
1035663788,Games
1434365829,Entertainment
1436505078,Games
1197960176,Games
1371293610,Games
1059336403,Games
1327502235,Games
1339001756,Games
1424257445,Games
653508448,Games
1367134653,Games
1390992134,Games
1371963481,Games
1281721367,Games
1413085106,Games
1364375976,Games
951744068,Games
1164424437,Games
1347072403,Games
1019161597,Games
1153965204,Games
1350432166,Games
417571834,Photo & Video
983650508,Games
1219658732,Games
667829467,Books
1441052001,Games
1258962959,Games
1134511982,Games
389762204,Entertainment
1186268161,Travel
694431263,Photo & Video
1363863879,Games
1198071602,Books
1347666572,Games
1281481626,Games
1374868881,Games
1345267655,Entertainment
449442542,Sports
949782856,Games
994411234,Entertainment
